Date,Region,Food_Item,Historical_Price,Rainfall,Temperature,Inflation_Rate,Fuel_Cost,Supply,Demand
2015-12-31,West,Rice,24.73,133.3,21.2,7.3,95.06,1810,1445
2015-12-31,East,Fruits,44.35,95.6,22.7,4.59,56.55,848,816
2015-12-31,North,Fruits,60.37,171.3,17.3,2.45,70.95,852,570
2015-12-31,East,Wheat,57.94,222.2,28.1,3.18,86.41,512,1350
2015-12-31,East,Fruits,69.05,265.5,33.9,5.64,96.69,676,1794
2015-12-31,South,Fruits,21.47,138.6,21.9,6.66,83.86,540,522
2015-12-31,East,Vegetables,32.37,268.8,34.6,1.97,73.92,1894,1278
2015-12-31,East,Rice,26.32,37.6,26.4,1.49,117.51,1983,1216
2015-12-31,West,Wheat,29.87,267.6,24.0,6.59,109.83,826,728
2015-12-31,East,Rice,50.27,12.6,28.2,6.72,102.12,1851,828
2015-12-31,West,Vegetables,52.56,262.3,17.8,1.09,104.26,1442,769
2015-12-31,South,Vegetables,17.4,34.3,17.9,1.27,97.12,1336,733
2016-01-31,North,Wheat,70.71,127.8,37.4,7.38,55.37,910,1720
2016-01-31,South,Vegetables,66.54,128.9,38.3,2.2,68.76,508,1602
2016-01-31,West,Wheat,75.94,196.2,36.0,5.65,58.91,1826,1524
2016-01-31,South,Fruits,31.08,264.5,18.4,2.58,96.96,1869,775
2016-01-31,East,Rice,57.9,185.6,39.0,3.79,99.96,512,363
2016-01-31,South,Vegetables,19.51,285.9,20.7,8.56,78.96,1860,351
2016-01-31,East,Vegetables,51.8,203.7,36.8,8.87,111.8,1116,1092
2016-01-31,West,Fruits,87.58,178.6,21.3,7.75,106.38,790,922
2016-01-31,South,Vegetables,84.61,133.2,27.0,2.16,114.37,1590,1725
2016-02-29,North,Vegetables,99.15,34.3,23.2,5.49,75.16,623,922
2016-02-29,West,Wheat,44.1,243.8,39.6,6.23,114.31,1302,1197
2016-02-29,South,Wheat,68.65,228.3,33.3,8.77,83.19,1975,1797
2016-02-29,West,Fruits,60.99,10.8,36.3,9.39,104.38,914,1705
2016-02-29,West,Rice,17.2,80.2,30.9,1.57,50.16,648,1179
2016-02-29,North,Rice,35.0,21.0,20.0,8.13,89.59,845,1061
2016-02-29,West,Vegetables,40.58,211.1,22.2,3.84,86.94,593,736
2016-02-29,East,Fruits,77.25,199.5,33.3,5.36,86.42,944,767
2016-03-31,South,Wheat,10.6,212.1,34.9,7.46,80.83,1288,1016
2016-03-31,West,Wheat,78.26,135.2,18.4,1.45,104.12,712,1483
2016-03-31,North,Wheat,30.43,32.7,16.9,9.8,62.41,986,856
2016-03-31,East,Wheat,96.06,278.6,16.1,9.59,74.47,1215,322
2016-03-31,North,Wheat,84.87,234.9,25.2,7.89,59.78,701,1287
2016-03-31,East,Fruits,49.7,281.9,39.9,4.62,84.25,1600,338
2016-03-31,South,Rice,63.49,257.1,19.8,5.06,53.88,895,943
2016-03-31,West,Vegetables,36.76,263.8,22.8,8.61,107.28,937,1750
2016-03-31,South,Vegetables,80.91,31.4,32.6,6.38,119.63,767,1616
2016-04-30,South,Fruits,97.48,288.3,19.2,2.08,64.37,1606,1790
2016-04-30,East,Wheat,57.29,262.1,37.3,8.6,97.09,1753,726
2016-04-30,South,Vegetables,36.68,231.2,18.2,8.66,87.3,1349,565
2016-04-30,North,Vegetables,85.94,140.9,39.7,4.99,54.32,1057,1778
2016-04-30,South,Rice,22.4,227.7,36.4,9.01,75.11,1389,811
2016-04-30,West,Vegetables,42.73,61.2,28.7,3.56,52.43,1262,860
2016-04-30,South,Rice,15.32,261.8,29.3,4.86,67.98,1122,926
2016-04-30,East,Rice,86.24,240.4,32.3,7.21,96.22,1273,1492
2016-04-30,East,Vegetables,78.37,167.9,17.1,6.3,85.21,1381,1055
2016-04-30,West,Wheat,85.95,135.1,36.7,9.42,99.15,592,1129
2016-04-30,East,Rice,54.75,192.5,16.5,8.76,92.32,1570,1046
2016-04-30,North,Fruits,18.44,178.1,39.2,2.74,53.9,853,863
2016-04-30,South,Wheat,52.57,4.7,17.9,5.69,87.48,573,487
2016-05-31,East,Vegetables,98.25,293.7,34.2,3.96,81.59,1659,1132
2016-05-31,North,Fruits,50.07,202.0,26.4,4.62,53.56,643,719
2016-05-31,East,Rice,60.64,184.9,33.6,4.88,99.42,858,354
2016-05-31,West,Rice,31.8,118.7,20.2,4.93,91.56,686,1726
2016-05-31,South,Wheat,13.27,244.9,20.4,3.93,107.35,955,1433
2016-05-31,East,Rice,18.31,181.6,26.5,4.12,103.37,1627,1687
2016-05-31,North,Fruits,75.69,28.6,26.7,5.25,55.91,1225,1363
2016-05-31,West,Vegetables,23.56,120.3,15.7,9.71,54.85,1840,1435
2016-05-31,South,Fruits,68.0,282.7,22.9,3.39,117.18,1865,380
2016-05-31,South,Rice,64.62,202.8,34.5,5.43,55.29,1103,445
2016-05-31,East,Rice,23.07,84.6,31.0,8.1,78.24,1122,958
2016-05-31,South,Wheat,97.1,8.9,18.8,2.81,52.66,1220,422
2016-05-31,South,Rice,73.02,93.6,29.2,8.25,106.96,1008,574
2016-06-30,East,Wheat,88.6,219.1,34.3,3.77,74.03,885,387
2016-06-30,West,Fruits,43.43,47.7,35.8,5.01,118.62,1288,1010
2016-06-30,North,Wheat,84.51,21.6,18.5,7.27,114.23,1854,396
2016-06-30,South,Vegetables,99.97,189.5,38.9,5.58,54.37,855,1201
2016-06-30,North,Rice,78.57,130.9,29.7,6.94,81.01,1404,1724
2016-06-30,West,Fruits,95.75,80.0,17.2,5.75,90.18,789,682
2016-06-30,South,Rice,70.79,278.8,23.1,1.52,100.99,1903,1009
2016-07-31,West,Wheat,68.15,213.8,27.6,8.09,110.77,1858,1144
2016-07-31,East,Fruits,20.59,4.7,39.8,2.53,86.96,542,1494
2016-07-31,North,Rice,93.04,263.8,34.0,5.48,96.71,1298,472
2016-07-31,North,Wheat,81.87,273.5,36.6,3.61,81.75,949,1056
2016-07-31,North,Wheat,30.29,44.9,20.0,7.22,85.64,849,1098
2016-07-31,North,Wheat,24.91,60.3,28.1,3.2,100.91,1246,1040
2016-07-31,South,Rice,25.47,223.7,36.7,3.13,104.31,1167,1166
2016-07-31,South,Rice,46.63,85.7,19.1,8.38,109.46,769,1341
2016-07-31,South,Rice,89.18,232.2,16.1,7.53,100.35,1120,872
2016-07-31,South,Rice,74.86,120.8,22.8,6.96,113.63,1425,1704
2016-07-31,West,Wheat,76.81,154.7,26.1,2.82,65.24,1408,769
2016-07-31,West,Wheat,97.37,209.2,19.5,7.44,81.69,1923,469
2016-07-31,East,Wheat,26.25,203.9,23.0,7.27,86.76,603,1297
2016-07-31,West,Fruits,78.68,277.4,29.8,9.79,57.71,994,1290
2016-08-31,South,Wheat,72.54,129.3,35.6,1.53,109.39,600,330
2016-08-31,East,Rice,89.33,248.0,22.1,1.65,113.31,1282,547
2016-08-31,South,Wheat,63.94,6.2,27.4,2.71,87.33,1083,1140
2016-08-31,South,Rice,42.04,137.4,34.8,3.59,100.82,1527,794
2016-08-31,East,Fruits,28.26,229.4,22.8,1.96,97.06,1101,1296
2016-08-31,North,Rice,68.12,154.3,26.3,5.05,94.36,812,1409
2016-08-31,East,Vegetables,83.36,139.0,37.3,5.91,67.52,1491,792
2016-09-30,South,Wheat,34.4,175.0,29.0,1.23,84.58,953,1481
2016-09-30,East,Rice,84.28,215.9,20.7,6.72,93.38,1810,1403
2016-09-30,West,Wheat,41.81,136.1,22.6,9.94,88.29,1211,1179
2016-09-30,North,Fruits,76.6,47.2,38.7,1.24,52.6,1849,1395
2016-09-30,West,Vegetables,90.07,124.6,20.0,2.64,101.3,1253,1199
2016-09-30,South,Rice,57.82,295.9,22.6,5.57,77.35,1105,1409
2016-09-30,North,Vegetables,10.11,253.3,20.8,3.75,102.72,550,733
2016-09-30,North,Fruits,46.13,291.1,30.9,8.35,52.04,559,860
2016-09-30,East,Wheat,14.49,162.2,17.2,8.71,99.1,522,1039
2016-10-31,East,Rice,40.02,272.2,15.6,8.07,67.8,1304,1201
2016-10-31,North,Rice,40.93,231.7,31.5,8.61,69.47,909,676
2016-10-31,West,Vegetables,44.43,262.7,22.3,5.01,78.08,1465,719
2016-10-31,South,Fruits,15.05,234.7,18.3,7.0,62.8,1627,388
2016-10-31,East,Wheat,68.65,274.6,23.0,5.84,56.67,1722,1611
2016-11-30,South,Vegetables,99.74,111.7,29.5,3.86,58.06,1582,553
2016-11-30,East,Vegetables,99.26,236.0,16.6,4.44,111.99,1127,726
2016-11-30,North,Fruits,56.16,222.2,16.7,8.67,57.87,1176,1169
2016-11-30,South,Vegetables,22.38,231.9,26.3,2.99,83.11,646,1183
2016-11-30,West,Fruits,62.39,294.5,32.9,6.62,98.0,1133,898
2016-11-30,West,Rice,55.18,15.6,35.7,1.73,115.35,1468,1520
2016-11-30,West,Rice,59.41,282.1,27.8,5.63,118.23,704,777
2016-11-30,East,Fruits,40.01,131.5,35.2,3.27,113.54,572,1390
2016-11-30,South,Fruits,11.98,274.4,19.2,9.09,103.42,1733,503
2016-11-30,South,Wheat,85.0,294.5,29.0,4.73,97.04,861,386
2016-11-30,North,Wheat,15.82,279.9,19.2,8.77,58.09,1780,1285
2016-11-30,West,Fruits,44.77,117.6,34.5,4.27,90.57,1396,1413
2016-12-31,North,Vegetables,18.78,43.2,28.1,8.7,73.87,1799,1418
2016-12-31,North,Rice,30.41,69.5,34.2,3.79,114.44,875,972
2016-12-31,South,Vegetables,60.8,67.0,28.6,3.49,88.2,523,362
2016-12-31,East,Rice,67.28,188.5,29.1,4.88,94.47,1439,405
2016-12-31,South,Fruits,64.19,80.7,37.9,9.25,119.72,931,942
2016-12-31,West,Fruits,47.21,246.9,18.9,6.08,91.83,1866,1164
2016-12-31,East,Rice,90.9,248.4,21.4,6.66,56.48,1844,1688
2016-12-31,West,Wheat,86.78,56.1,35.7,8.45,52.19,920,641
2016-12-31,South,Vegetables,99.59,260.0,23.4,9.34,97.02,748,567
2016-12-31,North,Fruits,22.22,4.1,25.3,2.25,112.01,1480,533
2016-12-31,South,Rice,88.17,148.7,16.9,7.2,72.94,1537,1379
2016-12-31,South,Fruits,92.83,270.4,34.0,6.97,110.13,735,1794
2016-12-31,East,Wheat,37.78,180.3,15.8,1.52,98.77,1554,1331
2016-12-31,West,Wheat,81.02,123.6,22.7,5.2,85.02,1534,906
2017-01-31,South,Fruits,25.95,282.0,19.9,3.29,80.17,1734,1433
2017-01-31,North,Rice,76.2,291.7,16.9,1.37,110.07,798,1780
2017-01-31,South,Vegetables,77.57,183.7,15.5,5.28,55.74,1599,995
2017-01-31,East,Fruits,29.45,206.9,30.1,5.56,105.78,1662,1184
2017-01-31,South,Wheat,59.92,209.6,23.2,8.72,73.78,1303,969
2017-01-31,North,Wheat,80.89,61.6,28.6,2.74,103.52,1776,795
2017-01-31,North,Vegetables,52.69,143.8,32.0,7.89,117.51,1487,733
2017-01-31,North,Vegetables,86.67,18.9,24.6,3.16,92.45,1958,865
2017-02-28,West,Rice,27.26,192.6,23.7,1.41,97.88,1455,803
2017-02-28,South,Vegetables,48.58,222.0,22.0,3.32,75.11,1020,979
2017-02-28,South,Wheat,31.63,38.4,18.2,5.99,114.62,1294,860
2017-02-28,South,Vegetables,89.18,123.4,22.5,3.85,62.24,563,1523
2017-02-28,North,Rice,84.21,36.4,16.9,6.19,116.91,1120,1288
2017-02-28,West,Wheat,76.11,166.4,30.5,5.0,98.38,622,1340
2017-03-31,North,Wheat,73.54,211.9,21.5,2.25,85.18,1949,1477
2017-03-31,South,Vegetables,31.12,267.0,25.7,3.48,74.94,1466,1286
2017-03-31,West,Wheat,87.66,227.6,36.8,7.57,97.78,1076,743
2017-03-31,North,Fruits,59.08,191.5,17.8,5.46,67.65,1433,501
2017-03-31,North,Fruits,80.42,180.9,37.4,1.13,100.92,1039,791
2017-03-31,South,Wheat,94.36,150.3,22.9,4.49,87.55,658,606
2017-03-31,East,Fruits,65.27,284.7,29.6,5.81,69.0,604,1140
2017-03-31,East,Rice,96.38,53.4,18.9,5.01,75.26,940,488
2017-03-31,South,Fruits,75.77,12.7,39.9,4.89,109.64,1490,1528
2017-03-31,North,Fruits,47.62,135.0,34.0,2.12,76.96,1804,816
2017-04-30,West,Rice,51.58,209.5,25.6,7.85,104.72,1605,1374
2017-04-30,South,Rice,64.37,121.4,32.5,1.47,54.37,1706,891
2017-04-30,East,Rice,53.35,233.1,19.4,7.4,80.17,1299,952
2017-04-30,South,Wheat,99.24,118.6,34.8,1.38,64.26,1886,1583
2017-04-30,West,Vegetables,77.16,52.8,36.6,7.07,94.11,1851,971
2017-04-30,East,Wheat,80.22,144.7,30.7,7.31,91.96,1228,1034
2017-04-30,South,Vegetables,85.19,1.6,27.3,6.77,101.11,889,727
2017-04-30,West,Vegetables,18.94,24.1,31.3,7.73,104.24,617,1691
2017-05-31,West,Rice,40.64,100.7,38.1,9.41,61.14,1888,406
2017-05-31,South,Wheat,50.56,149.5,17.3,7.64,106.38,664,556
2017-05-31,East,Rice,84.66,214.0,29.2,1.67,118.52,1951,1557
2017-05-31,North,Vegetables,88.2,52.3,37.1,6.15,88.78,1246,471
2017-05-31,East,Vegetables,60.33,146.8,22.4,5.4,57.34,1923,464
2017-05-31,North,Rice,53.01,111.4,32.2,4.76,99.56,1776,1587
2017-05-31,East,Wheat,47.81,43.3,17.3,6.63,64.2,656,714
2017-05-31,East,Vegetables,65.75,164.5,18.6,3.8,54.97,1163,1167
2017-06-30,West,Vegetables,66.89,143.5,23.3,4.48,83.86,706,1212
2017-06-30,West,Vegetables,41.94,256.3,18.6,5.29,79.33,536,885
2017-06-30,East,Vegetables,80.84,93.9,37.8,6.26,64.91,1635,1354
2017-06-30,East,Vegetables,84.76,108.7,24.3,3.44,56.63,1761,1759
2017-06-30,West,Vegetables,91.35,128.9,19.8,9.45,51.01,1570,563
2017-06-30,North,Rice,82.83,51.0,34.3,9.2,117.94,1525,504
2017-06-30,South,Vegetables,38.18,15.0,35.0,7.17,84.55,1155,1501
2017-06-30,North,Wheat,95.33,257.2,30.4,3.8,113.21,933,1260
2017-06-30,South,Rice,77.94,202.5,33.8,3.95,92.4,1545,789
2017-06-30,East,Wheat,86.75,37.3,27.8,5.6,89.72,1598,785
2017-07-31,South,Wheat,47.14,124.5,21.6,9.48,107.77,1799,1045
2017-07-31,West,Fruits,44.73,290.2,33.9,2.12,88.41,850,1579
2017-07-31,South,Fruits,21.22,57.3,32.8,8.89,115.28,1653,933
2017-08-31,North,Wheat,36.1,153.0,33.2,9.38,98.66,1059,1438
2017-08-31,East,Rice,69.37,74.9,34.1,7.05,81.31,1335,443
2017-08-31,East,Wheat,52.88,64.9,25.4,3.67,52.52,1546,534
2017-08-31,South,Fruits,59.35,106.8,17.8,9.36,68.25,895,936
2017-08-31,North,Vegetables,95.23,297.1,26.1,2.57,56.76,1627,507
2017-08-31,East,Vegetables,25.22,189.7,17.3,9.98,50.15,632,780
2017-08-31,West,Rice,88.68,121.7,19.8,2.95,118.1,542,1541
2017-08-31,West,Rice,58.56,128.3,33.8,9.34,111.46,1349,1746
2017-08-31,North,Fruits,19.71,251.9,28.4,8.42,118.76,1268,1096
2017-08-31,East,Vegetables,50.51,45.2,15.6,7.76,62.16,1509,1755
2017-08-31,North,Rice,98.94,156.8,37.4,4.05,97.52,691,1661
2017-08-31,West,Vegetables,24.1,286.5,20.1,8.14,112.37,1685,962
2017-09-30,East,Wheat,99.2,64.0,36.4,6.37,59.75,1968,683
2017-09-30,South,Vegetables,12.78,173.7,30.7,3.5,96.61,1596,938
2017-09-30,West,Fruits,82.21,248.7,20.8,9.59,50.09,1368,403
2017-09-30,West,Fruits,26.04,15.6,25.5,2.97,58.1,1258,384
2017-09-30,South,Rice,37.08,202.8,21.6,1.57,100.92,675,1325
2017-09-30,West,Vegetables,46.36,56.9,26.2,1.22,81.73,502,1761
2017-09-30,East,Wheat,73.98,284.6,29.3,1.11,116.26,1269,1530
2017-09-30,East,Rice,38.99,80.7,18.3,3.69,109.19,552,1541
2017-09-30,East,Fruits,71.35,277.2,39.4,8.28,69.55,771,658
2017-09-30,East,Rice,16.99,246.5,38.8,4.02,86.8,717,375
2017-09-30,South,Vegetables,24.87,33.0,16.7,7.5,84.94,581,1327
2017-09-30,South,Rice,62.72,144.8,15.2,3.7,65.2,1702,1343
2017-09-30,East,Wheat,57.17,164.0,17.7,4.58,94.6,1298,1074
2017-09-30,South,Wheat,81.29,71.7,15.1,7.35,65.28,1409,1528
2017-09-30,West,Fruits,47.67,94.5,36.6,7.75,50.48,555,915
2017-09-30,South,Fruits,89.39,100.0,36.9,3.76,50.04,963,1382
2017-09-30,East,Rice,84.34,88.8,35.8,7.67,97.72,1141,1400
2017-09-30,North,Rice,53.12,104.7,20.7,9.27,112.58,1386,1775
2017-10-31,West,Rice,75.72,35.5,32.5,4.05,85.22,916,1371
2017-10-31,North,Vegetables,20.96,12.5,22.3,5.16,84.54,966,1654
2017-10-31,North,Vegetables,12.64,236.0,18.2,7.69,71.94,1060,841
2017-10-31,East,Fruits,99.65,207.4,37.7,9.37,96.09,1632,1361
2017-10-31,West,Fruits,87.71,164.2,15.0,1.67,58.17,640,666
2017-10-31,North,Fruits,38.07,104.3,29.3,3.68,64.47,702,1419
2017-10-31,East,Wheat,22.04,254.2,26.6,3.09,62.84,884,865
2017-10-31,West,Wheat,87.97,247.9,26.9,4.63,73.22,1654,1772
2017-11-30,West,Vegetables,32.22,140.8,27.2,7.09,95.98,1599,340
2017-11-30,West,Fruits,20.82,89.0,31.3,3.6,75.31,1732,1629
2017-11-30,East,Rice,13.84,161.6,38.5,1.29,84.25,590,683
2017-11-30,East,Vegetables,75.19,297.1,19.7,3.09,66.06,1710,1493
2017-11-30,West,Fruits,83.64,212.0,37.9,5.59,75.4,1715,974
2017-11-30,East,Vegetables,76.03,36.6,22.0,6.25,58.51,1877,1217
2017-11-30,West,Vegetables,39.03,200.1,32.4,1.64,64.69,570,331
2017-11-30,North,Vegetables,11.21,203.1,27.1,1.97,103.59,915,1153
2017-11-30,South,Fruits,86.32,174.7,37.8,7.51,75.61,1661,937
2017-11-30,East,Fruits,47.15,23.3,34.9,2.83,92.76,610,1081
2017-12-31,North,Vegetables,99.01,224.8,39.4,2.18,74.79,863,1511
2017-12-31,East,Wheat,57.32,235.1,35.6,6.89,79.88,585,1498
2017-12-31,West,Rice,85.43,124.4,39.2,7.75,96.61,728,1779
2017-12-31,West,Wheat,77.13,284.8,33.1,8.17,114.75,1848,1795
2017-12-31,South,Wheat,47.27,5.1,39.7,7.4,68.86,1090,790
2017-12-31,East,Vegetables,80.83,129.1,31.3,9.04,91.15,1447,1554
2017-12-31,North,Fruits,30.13,163.1,16.4,3.1,65.24,1895,536
2017-12-31,South,Fruits,27.46,218.0,22.9,8.68,91.59,1234,366
2017-12-31,West,Wheat,38.9,227.5,26.0,6.13,94.48,1898,1264
2017-12-31,North,Vegetables,53.95,172.6,29.5,9.45,56.4,1878,839
2017-12-31,West,Fruits,89.42,122.0,29.6,5.83,55.38,1648,832
2018-01-31,South,Fruits,54.27,210.8,26.8,6.12,108.57,1637,1301
2018-01-31,South,Fruits,65.71,49.2,33.9,7.65,112.09,1348,541
2018-01-31,South,Fruits,46.21,299.9,39.9,5.49,83.57,1301,1706
2018-01-31,South,Fruits,24.07,48.8,19.3,3.47,68.64,1679,999
2018-01-31,North,Vegetables,72.5,153.7,17.7,2.0,114.23,942,1099
2018-01-31,North,Fruits,39.0,76.1,37.8,2.75,58.95,1052,687
